city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Delhi,2020-09-20,180.0,13.9,12.2,31.4,27.6,35.9,46.0,2.0,Urban,1703.0
Tokyo,2020-09-21,105.0,43.6,77.1,20.1,50.9,24.6,94.0,11.0,Suburban,1700.0
Delhi,2020-09-22,375.0,32.6,46.5,26.3,31.1,9.6,21.0,2.0,Urban,1865.0
Delhi,2020-09-23,11.0,36.3,55.7,38.8,14.5,13.1,46.0,9.0,Urban,1096.0
Delhi,2020-09-24,233.0,39.3,65.0,37.3,31.4,6.5,69.0,2.0,Suburban,1106.0
Delhi,2020-09-25,354.0,32.4,52.6,17.5,32.8,23.4,75.0,10.0,Suburban,1997.0
Delhi,2020-09-26,235.0,45.2,73.7,31.5,45.7,8.3,71.0,10.0,Urban,1136.0
Delhi,2020-09-27,51.0,28.6,54.7,25.9,35.0,6.6,37.0,9.0,Suburban,1019.0
Delhi,2020-09-28,55.0,16.9,81.9,39.2,39.6,-2.0,47.0,10.0,Suburban,612.0
Delhi,2020-09-29,179.0,27.9,43.2,52.7,16.8,26.7,52.0,5.0,Suburban,1172.0
Mexico City,2020-09-30,412.0,28.6,29.8,38.9,25.7,25.2,34.0,8.0,Urban,415.0
Mexico City,2020-10-01,139.0,38.4,56.7,20.4,37.1,-2.3,70.0,0.0,Suburban,1123.0
Beijing,2020-10-02,173.0,17.9,65.4,30.9,33.5,0.8,24.0,12.0,Suburban,334.0
Beijing,2020-10-03,444.0,48.9,32.2,18.8,24.2,11.3,26.0,10.0,Suburban,1743.0
Beijing,2020-10-04,282.0,54.8,29.7,14.8,56.7,19.7,75.0,9.0,Rural,947.0
London,2020-10-05,459.0,30.6,10.1,40.4,37.3,19.9,28.0,7.0,Urban,245.0
London,2020-10-06,204.0,43.5,67.2,21.9,23.7,26.1,82.0,6.0,Urban,662.0
Delhi,2020-10-08,304.0,37.4,25.8,33.6,48.9,38.8,90.0,10.0,Suburban,62.0
Delhi,2020-10-09,398.0,16.1,33.1,44.0,57.8,-4.7,66.0,8.0,Urban,485.0
Delhi,2020-10-10,263.0,30.1,50.9,41.1,46.2,37.7,31.0,12.0,Urban,1352.0
Mexico City,2020-10-11,203.0,25.3,52.5,40.5,40.5,1.6,88.0,6.0,Urban,1088.0
Beijing,2020-10-12,479.0,38.4,77.8,16.7,22.1,12.4,60.0,10.0,Suburban,552.0
Delhi,2020-10-13,157.0,52.9,56.7,29.3,27.7,39.0,28.0,13.0,Suburban,944.0
Beijing,2020-10-14,478.0,8.3,52.6,52.4,12.4,25.8,26.0,0.0,Suburban,491.0
Beijing,2020-10-15,347.0,55.1,22.6,28.2,46.4,0.5,56.0,10.0,Suburban,1566.0
Delhi,2020-10-16,85.0,38.8,38.1,26.0,24.3,25.4,72.0,11.0,Urban,1614.0
London,2020-10-17,337.0,45.6,72.6,21.2,25.5,6.6,27.0,7.0,Urban,388.0
Delhi,2020-10-18,446.0,41.5,28.9,41.8,22.5,34.4,54.0,8.0,Rural,201.0
Tokyo,2020-10-19,66.0,25.5,61.5,36.9,58.6,15.5,61.0,13.0,Urban,1132.0
Delhi,2020-10-20,219.0,42.2,45.2,10.2,57.4,33.6,73.0,12.0,Urban,219.0
London,2020-10-21,442.0,50.4,46.0,41.7,56.6,-3.3,67.0,15.0,Urban,1041.0
Tokyo,2020-10-22,234.0,53.4,26.5,32.4,18.6,25.0,69.0,13.0,Urban,1202.0
London,2020-10-24,369.0,27.6,47.1,21.8,43.4,9.3,93.0,0.0,Urban,1054.0
Los Angeles,2020-10-25,33.0,54.9,17.5,35.8,43.9,11.4,41.0,10.0,Urban,252.0
Mexico City,2020-10-26,253.0,50.9,2.7,21.4,53.2,11.9,23.0,8.0,Suburban,1583.0
Los Angeles,2020-10-27,17.0,48.9,44.1,3.0,43.6,29.1,21.0,11.0,Suburban,420.0
Delhi,2020-10-28,359.0,17.3,31.3,11.0,38.1,27.7,50.0,6.0,Urban,1004.0
Beijing,2020-10-29,263.0,27.1,44.4,43.4,51.3,9.9,50.0,9.0,Urban,225.0
Beijing,2020-10-30,209.0,37.2,31.9,25.7,30.7,36.0,23.0,7.0,Urban,1929.0
London,2020-10-31,205.0,47.9,46.7,12.5,43.0,32.0,67.0,5.0,Urban,1331.0
Beijing,2020-11-01,361.0,13.3,34.4,21.2,42.0,12.3,30.0,5.0,Urban,1577.0
Beijing,2020-11-02,403.0,18.0,15.8,14.4,32.5,10.3,59.0,3.0,Urban,1580.0
Mexico City,2020-11-03,245.0,36.6,54.5,27.7,59.4,10.9,39.0,10.0,Urban,101.0
Delhi,2020-11-04,418.0,19.0,22.5,43.7,45.8,27.0,80.0,3.0,Urban,1418.0
Delhi,2020-11-05,55.0,29.4,69.2,24.2,24.3,22.9,57.0,1.0,Suburban,1726.0
Beijing,2020-11-06,402.0,33.3,46.8,30.6,53.8,-3.0,29.0,8.0,Urban,1257.0
Beijing,2020-11-07,299.0,4.8,79.1,38.0,52.4,10.5,54.0,0.0,Urban,1194.0
Delhi,2020-11-08,96.0,38.4,84.1,35.2,43.7,26.2,82.0,7.0,Urban,952.0
Beijing,2020-11-09,337.0,32.3,0.4,28.4,31.7,27.7,60.0,11.0,Rural,390.0
Beijing,2020-11-10,348.0,11.7,22.8,20.6,10.4,-4.5,61.0,0.0,Urban,539.0
Beijing,2020-11-11,123.0,26.0,43.0,16.5,30.8,-2.4,88.0,5.0,Suburban,1137.0
Beijing,2020-11-12,483.0,46.4,56.9,21.3,39.5,15.8,69.0,8.0,Urban,707.0
Mexico City,2020-11-13,333.0,29.5,77.4,10.6,45.1,17.8,83.0,9.0,Suburban,592.0
Delhi,2020-11-14,75.0,34.8,75.5,30.3,56.8,17.1,50.0,10.0,Urban,1393.0
Tokyo,2020-11-15,497.0,38.7,40.1,32.7,63.1,24.4,57.0,8.0,Urban,1066.0
Tokyo,2020-11-16,404.0,6.3,41.4,28.9,50.7,38.9,62.0,12.0,Urban,751.0
Beijing,2020-11-17,241.0,55.9,38.1,13.0,44.1,31.3,77.0,15.0,Suburban,1918.0
Beijing,2020-11-18,446.0,41.5,29.2,46.9,41.4,10.0,83.0,7.0,Urban,72.0
Beijing,2020-11-19,156.0,40.8,16.0,32.5,20.6,29.3,35.0,8.0,Urban,1689.0
London,2020-11-20,100.0,44.3,39.5,58.6,40.0,14.1,93.0,7.0,Urban,752.0
Mexico City,2020-11-21,85.0,33.4,54.5,16.8,36.1,19.2,63.0,14.0,Suburban,538.0
London,2020-11-22,350.0,34.4,74.0,37.7,22.2,5.8,59.0,9.0,Urban,766.0
Beijing,2020-11-23,98.0,68.8,39.2,32.9,36.7,4.5,32.0,8.0,Urban,447.0
Mexico City,2020-11-24,111.0,13.1,44.6,34.6,30.5,23.6,84.0,5.0,Suburban,1178.0
Delhi,2020-11-25,113.0,43.9,72.3,26.9,51.2,26.1,33.0,9.0,Suburban,1388.0
Los Angeles,2020-11-26,308.0,19.1,58.4,59.6,40.5,32.5,73.0,5.0,Suburban,369.0
Delhi,2020-11-27,180.0,55.7,49.2,24.6,27.9,30.4,76.0,15.0,Suburban,1666.0
Mexico City,2020-11-28,215.0,36.1,26.8,25.9,21.9,36.8,62.0,3.0,Urban,257.0
London,2020-11-29,12.0,13.8,57.5,18.1,26.7,15.9,89.0,1.0,Rural,1486.0
Delhi,2020-11-30,219.0,42.8,56.3,44.0,26.7,0.7,76.0,12.0,Suburban,876.0
Mexico City,2020-12-01,238.0,50.8,46.6,21.8,24.6,-1.4,28.0,10.0,Urban,984.0
Delhi,2020-12-02,63.0,40.0,48.9,36.7,22.1,33.3,48.0,13.0,Suburban,596.0
Los Angeles,2020-12-03,443.0,48.1,18.7,40.4,47.9,39.8,44.0,7.0,Urban,793.0
Delhi,2020-12-04,479.0,56.3,34.7,29.2,43.1,37.4,26.0,5.0,Urban,1969.0
Tokyo,2020-12-05,233.0,46.7,97.3,31.6,32.2,25.7,75.0,9.0,Urban,376.0
Delhi,2020-12-06,13.0,28.5,59.3,32.8,29.4,26.1,21.0,14.0,Rural,1292.0
Cairo,2020-12-07,254.0,55.3,56.4,29.0,43.4,-1.2,52.0,13.0,Suburban,335.0
London,2020-12-08,38.0,41.9,69.6,40.2,42.9,27.0,50.0,10.0,Suburban,1353.0
Mexico City,2020-12-09,285.0,27.6,46.4,27.4,36.2,36.9,79.0,4.0,Urban,1722.0
Los Angeles,2020-12-10,113.0,41.6,61.8,33.2,46.9,3.9,32.0,10.0,Urban,1748.0
Los Angeles,2020-12-11,487.0,41.0,65.1,36.8,33.2,-4.6,54.0,10.0,Urban,795.0
Tokyo,2020-12-12,252.0,37.0,89.7,47.5,28.5,14.0,81.0,7.0,Urban,1544.0
Delhi,2020-12-13,145.0,14.9,43.0,33.1,42.3,32.2,73.0,5.0,Suburban,774.0
Delhi,2020-12-15,479.0,46.3,45.8,24.1,45.8,18.1,29.0,11.0,Suburban,1351.0
Mexico City,2020-12-16,109.0,26.1,31.1,34.9,45.5,15.2,86.0,10.0,Suburban,862.0
Delhi,2020-12-17,381.0,42.6,58.0,35.8,39.5,2.5,22.0,11.0,Urban,393.0
Mexico City,2020-12-18,459.0,40.1,89.5,9.1,42.8,15.1,81.0,14.0,Urban,1975.0
Mexico City,2020-12-19,221.0,11.7,36.4,22.3,59.2,-3.7,48.0,4.0,Urban,177.0
Beijing,2020-12-20,464.0,33.8,49.8,22.4,32.7,18.0,34.0,11.0,Urban,435.0
Beijing,2020-12-21,421.0,39.8,62.3,31.4,37.0,8.3,85.0,3.0,Suburban,725.0
Los Angeles,2020-12-22,259.0,59.8,55.8,32.2,53.2,12.7,20.0,13.0,Urban,460.0
Los Angeles,2020-12-23,477.0,36.4,74.4,7.8,46.2,33.2,82.0,8.0,Urban,163.0
Beijing,2020-12-24,88.0,60.5,37.4,41.4,29.1,0.8,25.0,10.0,Urban,1989.0
Mexico City,2020-12-25,469.0,31.0,29.6,28.8,45.2,9.7,51.0,8.0,Urban,756.0
Tokyo,2020-12-26,153.0,31.9,70.5,23.0,28.1,6.1,29.0,12.0,Suburban,1086.0
Delhi,2020-12-27,225.0,10.5,52.6,21.4,33.5,10.6,28.0,2.0,Urban,650.0
Delhi,2020-12-28,149.0,34.3,36.1,40.5,56.3,21.6,76.0,13.0,Urban,603.0
Delhi,2020-12-29,454.0,29.3,91.3,34.9,44.7,24.3,36.0,10.0,Urban,1329.0
Mexico City,2020-12-30,143.0,26.8,50.4,29.5,33.2,18.8,77.0,8.0,Suburban,1470.0
Beijing,2020-12-31,351.0,27.4,66.3,26.7,38.8,10.2,24.0,9.0,Suburban,697.0
Los Angeles,2021-01-01,263.0,20.9,49.7,5.6,27.8,7.7,88.0,6.0,Urban,565.0
Mexico City,2021-01-02,38.0,21.6,43.2,28.6,30.2,-1.1,32.0,6.0,Rural,338.0
Beijing,2021-01-03,382.0,35.3,28.1,23.4,18.4,27.7,84.0,0.0,Suburban,727.0
Tokyo,2021-01-04,18.0,44.5,63.2,21.5,44.0,21.9,93.0,14.0,Urban,488.0
Los Angeles,2021-01-05,90.0,55.8,48.5,21.6,14.5,4.9,21.0,14.0,Urban,1055.0
Delhi,2021-01-06,199.0,40.8,45.4,34.1,7.9,12.8,63.0,6.0,Suburban,1357.0
Beijing,2021-01-07,218.0,11.4,52.5,37.7,51.9,11.2,88.0,6.0,Suburban,1080.0
Beijing,2021-01-08,322.0,39.8,53.0,15.1,38.4,20.9,64.0,4.0,Urban,1551.0
Delhi,2021-01-09,30.0,55.0,49.1,11.8,27.3,5.5,41.0,7.0,Rural,1137.0
Delhi,2021-01-10,447.0,39.4,49.0,38.6,37.7,-1.1,47.0,2.0,Urban,247.0
Tokyo,2021-01-11,23.0,53.4,50.6,24.7,65.8,-3.3,58.0,9.0,Urban,1728.0
Beijing,2021-01-12,18.0,30.2,65.9,35.2,36.4,7.2,55.0,13.0,Suburban,1348.0
Beijing,2021-01-13,369.0,26.5,54.7,42.5,28.0,19.1,20.0,4.0,Urban,474.0
Los Angeles,2021-01-14,135.0,27.1,15.6,33.4,23.1,0.7,34.0,4.0,Urban,1299.0
Mexico City,2021-01-15,123.0,42.9,47.5,35.8,58.5,30.9,20.0,6.0,Suburban,296.0
Tokyo,2021-01-16,373.0,21.5,57.0,43.6,47.7,16.3,34.0,10.0,Rural,668.0
Los Angeles,2021-01-17,302.0,30.6,69.0,26.1,50.6,13.4,43.0,12.0,Urban,584.0
Beijing,2021-01-18,181.0,41.0,50.1,25.8,35.1,8.5,24.0,7.0,Suburban,1848.0
Beijing,2021-01-19,157.0,55.2,78.3,19.4,57.1,4.2,39.0,10.0,Suburban,428.0
São Paulo,2021-01-20,301.0,22.5,20.2,46.9,52.5,2.5,45.0,5.0,Rural,1604.0
Los Angeles,2021-01-21,430.0,56.4,39.6,32.5,22.7,3.9,67.0,12.0,Urban,1800.0
Cairo,2021-01-22,199.0,57.4,59.8,39.8,50.2,10.3,59.0,8.0,Urban,556.0
Delhi,2021-01-23,215.0,19.1,14.4,16.6,43.3,18.7,88.0,6.0,Urban,1675.0
London,2021-01-24,103.0,28.0,35.7,41.7,44.9,28.0,47.0,5.0,Suburban,1501.0
Mexico City,2021-01-25,265.0,26.6,45.8,38.2,36.3,8.3,81.0,8.0,Urban,1022.0
Delhi,2021-01-26,30.0,20.2,47.0,33.6,34.7,1.2,58.0,14.0,Urban,1038.0
Mexico City,2021-01-27,406.0,38.9,70.8,42.5,37.5,10.4,82.0,11.0,Urban,281.0
Mexico City,2021-01-28,268.0,48.0,62.0,48.4,27.1,4.4,26.0,10.0,Urban,1324.0
Delhi,2021-01-29,144.0,36.1,43.8,30.5,48.7,38.2,34.0,6.0,Urban,961.0
Beijing,2021-01-30,92.0,34.3,15.5,34.8,35.2,-2.4,73.0,6.0,Urban,1167.0
London,2021-01-31,132.0,59.1,38.0,42.2,37.8,-3.2,81.0,13.0,Urban,248.0
Delhi,2021-02-01,34.0,27.4,57.6,29.1,41.5,5.5,57.0,6.0,Urban,506.0
Beijing,2021-02-02,477.0,37.1,53.4,33.6,47.2,28.5,32.0,4.0,Suburban,781.0
Beijing,2021-02-03,154.0,33.6,50.2,23.7,44.4,29.9,67.0,7.0,Urban,940.0
Beijing,2021-02-04,461.0,24.5,68.7,36.6,21.4,-0.9,89.0,9.0,Urban,593.0
Tokyo,2021-02-05,463.0,23.2,69.1,40.2,36.8,3.8,72.0,13.0,Suburban,1922.0
Los Angeles,2021-02-06,7.0,39.8,60.6,28.7,51.1,39.4,47.0,8.0,Suburban,1600.0
Delhi,2021-02-07,280.0,59.2,86.1,31.9,61.8,-2.0,60.0,16.0,Suburban,614.0
São Paulo,2021-02-08,396.0,41.8,21.6,47.9,64.2,-3.7,34.0,10.0,Urban,942.0
London,2021-02-09,119.0,19.8,42.8,35.5,60.0,11.6,70.0,9.0,Urban,605.0
Delhi,2021-02-10,489.0,24.7,22.0,20.5,53.0,23.3,43.0,8.0,Urban,1259.0
London,2021-02-11,309.0,38.0,68.9,28.4,38.8,28.6,33.0,12.0,Rural,255.0
Delhi,2021-02-12,392.0,25.3,49.9,22.6,33.9,7.3,84.0,8.0,Suburban,172.0
São Paulo,2021-02-13,385.0,40.1,40.0,21.1,57.8,18.5,83.0,8.0,Suburban,1467.0
Mexico City,2021-02-14,70.0,43.3,49.7,15.7,40.1,24.2,28.0,9.0,Urban,1283.0
Mexico City,2021-02-15,425.0,29.7,22.3,18.6,37.6,-0.9,62.0,15.0,Urban,1119.0
Delhi,2021-02-16,60.0,1.9,84.7,28.4,55.7,15.3,68.0,1.0,Urban,673.0
Tokyo,2021-02-17,495.0,34.5,71.9,34.0,30.9,36.5,21.0,6.0,Urban,695.0
Delhi,2021-02-18,314.0,50.0,4.5,20.5,44.2,33.1,30.0,6.0,Urban,966.0
Delhi,2021-02-19,308.0,41.2,63.9,29.5,26.7,37.0,53.0,3.0,Urban,767.0
Delhi,2021-02-20,475.0,58.5,48.0,34.8,50.9,25.6,43.0,12.0,Suburban,1778.0
Los Angeles,2021-02-21,216.0,46.7,52.8,42.1,52.8,28.3,48.0,8.0,Urban,482.0
Delhi,2021-02-22,249.0,27.7,68.5,29.6,48.4,30.9,75.0,10.0,Rural,1785.0
Tokyo,2021-02-23,339.0,26.7,40.3,36.6,28.8,38.6,31.0,6.0,Rural,686.0
Mexico City,2021-02-24,111.0,31.0,76.9,38.6,38.8,37.3,33.0,11.0,Urban,769.0
Delhi,2021-02-25,55.0,29.2,33.3,28.1,41.4,34.1,69.0,6.0,Suburban,1698.0
Delhi,2021-02-26,490.0,38.0,39.4,26.3,49.4,-4.1,66.0,10.0,Suburban,1332.0
Delhi,2021-02-27,368.0,17.8,64.9,27.8,51.0,20.5,62.0,13.0,Suburban,1052.0
Mexico City,2021-02-28,285.0,24.1,65.8,25.3,59.4,25.1,54.0,7.0,Rural,1762.0
London,2021-03-01,139.0,30.4,17.0,38.2,34.5,17.0,77.0,9.0,Urban,130.0
Delhi,2021-03-02,399.0,35.3,57.6,38.9,35.1,24.2,64.0,12.0,Urban,784.0
London,2021-03-03,333.0,46.9,65.3,39.6,22.6,-0.5,25.0,9.0,Urban,571.0
Delhi,2021-03-04,215.0,28.2,53.6,19.1,46.0,35.4,59.0,11.0,Urban,1110.0
London,2021-03-05,232.0,3.1,28.7,19.2,46.9,11.4,22.0,1.0,Urban,1248.0
Tokyo,2021-03-06,473.0,49.9,59.6,38.9,43.4,3.8,39.0,7.0,Suburban,1102.0
Los Angeles,2021-03-07,126.0,31.1,12.2,38.7,30.8,5.1,37.0,6.0,Urban,1324.0
Mexico City,2021-03-08,37.0,31.7,45.5,39.0,33.8,34.9,34.0,6.0,Urban,504.0
London,2021-03-09,384.0,46.6,42.1,13.9,39.8,12.7,44.0,16.0,Urban,1523.0
Delhi,2021-03-10,112.0,51.5,30.1,29.4,23.8,14.7,53.0,4.0,Suburban,1462.0
Delhi,2021-03-11,438.0,41.3,51.2,22.2,34.8,0.0,50.0,9.0,Suburban,494.0
Delhi,2021-03-12,298.0,35.4,45.1,36.5,36.8,14.8,56.0,10.0,Urban,1640.0
Beijing,2021-03-13,285.0,31.3,70.9,24.9,51.6,38.3,25.0,14.0,Urban,711.0
Los Angeles,2021-03-14,121.0,19.6,19.6,27.2,44.6,38.0,70.0,11.0,Urban,870.0
Mexico City,2021-03-15,419.0,38.9,59.7,24.2,41.6,20.1,24.0,3.0,Suburban,767.0
London,2021-03-16,384.0,17.4,44.1,41.8,19.4,-5.0,56.0,5.0,Suburban,841.0
Delhi,2021-03-17,419.0,34.4,87.5,32.2,28.9,10.1,30.0,10.0,Urban,1471.0
Los Angeles,2021-03-18,267.0,63.5,10.1,18.1,11.7,26.3,35.0,9.0,Urban,1618.0
Delhi,2021-03-19,121.0,13.8,35.3,44.6,44.1,-2.2,29.0,4.0,Urban,1835.0
Delhi,2021-03-20,285.0,41.3,42.9,37.5,17.2,27.7,83.0,5.0,Urban,354.0
Los Angeles,2021-03-21,304.0,29.1,22.7,45.5,42.8,20.7,29.0,8.0,Urban,1051.0
São Paulo,2021-03-22,97.0,23.6,45.7,23.6,32.9,3.5,36.0,6.0,Urban,712.0
Mexico City,2021-03-23,496.0,27.8,66.7,42.1,61.7,2.5,90.0,10.0,Suburban,1112.0
Delhi,2021-03-24,206.0,36.7,53.6,35.7,50.0,1.8,65.0,8.0,Suburban,1242.0
Mexico City,2021-03-25,57.0,69.7,62.4,18.6,39.6,26.2,88.0,9.0,Urban,665.0
Delhi,2021-03-26,382.0,47.3,43.5,24.9,43.9,1.3,55.0,9.0,Suburban,418.0
Tokyo,2021-03-27,323.0,44.4,43.3,19.2,29.6,7.7,34.0,14.0,Urban,408.0
Los Angeles,2021-03-28,30.0,27.2,11.8,28.7,46.7,5.3,61.0,11.0,Urban,804.0
Delhi,2021-03-29,183.0,19.1,38.0,30.8,51.0,-1.7,76.0,11.0,Urban,1320.0
Delhi,2021-03-30,50.0,23.9,59.7,36.5,37.5,32.7,81.0,2.0,Urban,979.0
Delhi,2021-03-31,193.0,53.7,48.0,42.3,35.6,2.1,65.0,6.0,Urban,939.0
São Paulo,2021-04-01,26.0,27.3,84.7,13.3,16.7,2.8,59.0,1.0,Urban,469.0
Beijing,2021-04-02,30.0,38.7,53.4,21.6,70.3,35.9,28.0,14.0,Rural,1237.0
Los Angeles,2021-04-03,408.0,35.7,85.4,28.9,22.3,4.9,61.0,10.0,Suburban,1553.0
Mexico City,2021-04-04,140.0,37.3,45.8,32.0,48.0,20.9,46.0,6.0,Urban,1716.0
Mexico City,2021-04-05,366.0,33.5,50.3,36.2,42.6,34.1,22.0,8.0,Urban,1309.0
Delhi,2021-04-06,427.0,42.7,50.2,31.0,20.4,1.6,56.0,15.0,Urban,319.0
Tokyo,2021-04-07,342.0,24.0,49.8,13.3,44.3,31.8,76.0,8.0,Urban,1159.0
Beijing,2021-04-08,29.0,44.6,48.2,25.3,33.9,6.0,92.0,16.0,Urban,745.0
Mexico City,2021-04-10,153.0,35.6,49.4,15.5,23.1,14.7,39.0,3.0,Urban,1030.0
Mexico City,2021-04-11,337.0,30.2,80.0,34.4,50.5,3.5,41.0,9.0,Urban,1565.0
Tokyo,2021-04-12,493.0,32.8,18.8,44.2,56.2,28.8,31.0,6.0,Urban,1499.0
Delhi,2021-04-13,27.0,46.5,20.7,46.3,30.0,23.5,85.0,8.0,Suburban,865.0
Beijing,2021-04-14,72.0,17.2,68.6,28.0,35.8,15.0,50.0,5.0,Urban,1194.0
Beijing,2021-04-15,417.0,53.5,65.3,40.2,24.8,35.3,47.0,15.0,Urban,313.0
Beijing,2021-04-16,381.0,36.8,32.7,54.7,34.8,22.8,82.0,3.0,Suburban,1202.0
Delhi,2021-04-17,470.0,40.7,47.5,27.1,31.5,11.3,27.0,5.0,Suburban,1068.0
Delhi,2021-04-18,497.0,33.7,35.5,34.7,40.9,14.8,50.0,6.0,Suburban,581.0
Delhi,2021-04-19,35.0,35.2,22.4,41.6,39.4,8.8,81.0,6.0,Urban,1651.0
Beijing,2021-04-20,444.0,21.6,56.9,27.8,36.8,29.5,61.0,6.0,Urban,1827.0
Beijing,2021-04-21,99.0,21.6,46.0,32.9,32.1,36.8,45.0,9.0,Urban,223.0
Mexico City,2021-04-22,427.0,16.4,57.5,47.8,35.5,-4.0,78.0,5.0,Urban,749.0
Mexico City,2021-04-23,315.0,13.9,51.5,37.5,48.3,-2.6,43.0,4.0,Urban,1051.0
Beijing,2021-04-24,498.0,53.6,120.6,22.7,12.4,35.3,83.0,12.0,Rural,1536.0
Beijing,2021-04-25,490.0,32.8,71.5,21.6,34.7,33.6,20.0,11.0,Urban,1848.0
Delhi,2021-04-26,136.0,40.8,68.1,19.0,27.9,32.1,57.0,9.0,Urban,1635.0
Mexico City,2021-04-27,260.0,41.1,87.2,49.2,42.6,31.4,59.0,13.0,Urban,256.0
Beijing,2021-04-28,480.0,37.1,50.7,29.4,39.5,30.5,74.0,13.0,Suburban,61.0
Delhi,2021-04-29,388.0,46.0,82.0,26.5,49.7,24.6,36.0,14.0,Urban,879.0
Beijing,2021-04-30,270.0,55.2,56.4,33.0,44.6,14.4,31.0,9.0,Urban,934.0
Beijing,2021-05-01,357.0,37.0,52.8,42.5,48.2,31.1,64.0,10.0,Urban,209.0
Delhi,2021-05-02,53.0,25.0,72.6,38.0,34.9,1.6,33.0,10.0,Urban,242.0
Mexico City,2021-05-03,362.0,53.1,40.7,36.7,43.1,16.1,59.0,12.0,Urban,1569.0
Mexico City,2021-05-04,432.0,13.4,58.4,40.4,42.8,7.9,75.0,7.0,Suburban,640.0
Los Angeles,2021-05-05,218.0,44.9,30.1,31.3,40.7,7.5,85.0,10.0,Urban,1319.0
Mexico City,2021-05-06,65.0,37.3,89.0,15.0,30.5,17.1,63.0,6.0,Urban,665.0
Mexico City,2021-05-07,49.0,44.7,76.2,17.9,46.5,4.6,67.0,14.0,Suburban,388.0
Beijing,2021-05-08,88.0,18.9,28.9,44.5,50.0,-1.0,83.0,9.0,Rural,339.0
Los Angeles,2021-05-09,292.0,45.3,23.0,34.6,31.6,16.8,34.0,10.0,Suburban,1613.0
Beijing,2021-05-10,0.0,30.5,80.6,14.6,28.5,12.3,32.0,4.0,Urban,236.0
Beijing,2021-05-11,499.0,26.9,5.3,38.2,37.4,9.2,81.0,2.0,Urban,521.0
Mexico City,2021-05-12,188.0,58.3,91.2,13.8,24.3,-4.6,69.0,8.0,Suburban,907.0
Beijing,2021-05-13,245.0,50.4,52.2,34.8,45.1,39.7,21.0,13.0,Urban,258.0
Beijing,2021-05-14,208.0,42.0,51.0,27.3,48.3,39.7,85.0,9.0,Suburban,1576.0
Los Angeles,2021-05-15,345.0,39.4,44.4,18.0,33.3,31.5,66.0,5.0,Suburban,1969.0
Tokyo,2021-05-16,129.0,22.8,48.8,40.0,47.9,27.3,52.0,7.0,Urban,681.0
Tokyo,2021-05-17,432.0,23.8,68.9,26.0,40.8,31.3,82.0,7.0,Suburban,486.0
Beijing,2021-05-18,410.0,43.1,37.6,34.0,52.4,4.0,87.0,13.0,Urban,1725.0
Beijing,2021-05-19,379.0,17.7,56.9,36.3,49.7,33.6,78.0,6.0,Urban,594.0
Los Angeles,2021-05-20,440.0,51.6,71.6,29.4,27.3,1.8,94.0,16.0,Rural,647.0
Beijing,2021-05-21,380.0,53.7,33.8,25.3,26.7,24.5,90.0,8.0,Rural,1383.0
London,2021-05-22,147.0,51.0,60.5,21.7,42.8,-1.7,54.0,10.0,Urban,873.0
Beijing,2021-05-23,337.0,44.3,40.5,19.8,28.8,6.0,79.0,10.0,Suburban,320.0
Delhi,2021-05-24,259.0,21.9,80.1,24.9,32.9,-3.6,62.0,11.0,Suburban,830.0
Delhi,2021-05-25,342.0,21.3,30.1,3.6,35.9,37.2,86.0,6.0,Urban,157.0
London,2021-05-26,470.0,54.7,76.4,40.5,50.9,-3.8,61.0,11.0,Urban,1854.0
Delhi,2021-05-27,38.0,40.8,42.8,26.7,33.3,22.7,57.0,7.0,Urban,425.0
Delhi,2021-05-28,90.0,46.2,63.9,19.4,54.1,20.2,47.0,12.0,Urban,813.0
Beijing,2021-05-29,473.0,54.1,19.0,48.6,40.4,28.5,27.0,13.0,Suburban,1493.0
Delhi,2021-05-30,109.0,65.8,25.6,32.4,49.6,-2.0,67.0,7.0,Urban,863.0
Beijing,2021-05-31,244.0,23.0,33.6,45.4,37.3,6.3,31.0,9.0,Urban,399.0
Los Angeles,2021-06-01,188.0,54.2,19.6,57.0,33.8,29.9,54.0,14.0,Urban,369.0
Delhi,2021-06-02,414.0,10.5,10.7,32.2,47.4,35.1,52.0,8.0,Urban,768.0
London,2021-06-03,120.0,30.4,69.9,21.1,42.3,5.3,46.0,5.0,Urban,1967.0
London,2021-06-04,77.0,17.3,64.9,0.8,19.0,10.1,76.0,11.0,Urban,545.0
Beijing,2021-06-05,18.0,42.9,9.3,26.6,32.8,30.1,28.0,7.0,Urban,150.0
Delhi,2021-06-06,155.0,61.9,21.9,29.8,42.4,8.1,30.0,9.0,Urban,525.0
Mexico City,2021-06-07,449.0,24.4,89.9,21.7,42.2,35.3,91.0,8.0,Urban,1682.0
Delhi,2021-06-08,423.0,9.5,33.3,50.6,54.1,31.3,55.0,9.0,Suburban,1567.0
Beijing,2021-06-09,26.0,20.4,55.3,30.9,28.1,4.2,49.0,10.0,Suburban,1686.0
Cairo,2021-06-10,488.0,17.0,43.1,19.8,34.7,29.1,93.0,7.0,Urban,64.0
São Paulo,2021-06-11,182.0,2.6,25.2,51.2,34.3,25.0,44.0,4.0,Urban,737.0
Los Angeles,2021-06-12,67.0,42.8,45.8,35.1,39.8,2.2,52.0,7.0,Urban,1629.0
